transaction_id,account_id,client_id,transaction_timestamp,transaction_type,debit_credit,amount,currency,balance_after_transaction,available_balance,ledger_balance,status,updated_at
L001,ACC-000001,CLIENT-0001,2026-08-10T07:01:00+00:00,SALARY_DEPOSIT,C,32.35,AED,1369631.80,1369631.80,1369631.80,POSTED,2026-08-10T07:01:01+00:00
L002,ACC-000002,CLIENT-0001,2026-08-10T07:02:00+00:00,WIRE_IN,C,39.70,AED,1821727.08,1821727.08,1821727.08,PENDING,2026-08-10T07:02:01+00:00
L003,ACC-000003,CLIENT-0001,2026-08-10T07:03:00+00:00,WIRE_OUT,D,47.05,AED,1568083.44,1568083.44,1568083.44,POSTED,2026-08-10T07:03:01+00:00
L004,ACC-000004,CLIENT-0001,2026-08-10T07:04:00+00:00,ACH_CREDIT,C,54.40,AED,194857.77,194857.77,194857.77,POSTED,2026-08-10T07:04:01+00:00
L005,ACC-000005,CLIENT-0001,2026-08-10T07:05:00+00:00,ACH_DEBIT,D,61.75,AED,167057.28,167057.28,167057.28,POSTED,2026-08-10T07:05:01+00:00
L006,ACC-000006,CLIENT-0002,2026-08-10T07:06:00+00:00,ATM_WITHDRAWAL,D,69.10,USD,861364.02,861364.02,861364.02,POSTED,2026-08-10T07:06:01+00:00
L007,ACC-000007,CLIENT-0003,2026-08-10T07:07:00+00:00,BANK_FEE,D,76.45,EUR,1818918.99,1818918.99,1818918.99,POSTED,2026-08-10T07:07:01+00:00
L008,ACC-000008,CLIENT-0003,2026-08-10T07:08:00+00:00,INTERNAL_TRANSFER,D,83.80,USD,316951.41,316951.41,316951.41,POSTED,2026-08-10T07:08:01+00:00
L009,ACC-000010,CLIENT-0005,2026-08-10T07:09:00+00:00,INTEREST,C,91.15,CAD,380768.02,380768.02,380768.02,POSTED,2026-08-10T07:09:01+00:00
L010,ACC-000011,CLIENT-0006,2026-08-10T07:10:00+00:00,SALARY_DEPOSIT,C,98.50,EUR,110842.09,110842.09,110842.09,POSTED,2026-08-10T07:10:01+00:00
L011,ACC-000012,CLIENT-0006,2026-08-10T07:11:00+00:00,WIRE_IN,C,105.85,AED,149445.81,149445.81,149445.81,POSTED,2026-08-10T07:11:01+00:00
L012,ACC-000013,CLIENT-0007,2026-08-10T07:12:00+00:00,WIRE_OUT,D,113.20,USD,1475842.22,1475842.22,1475842.22,PENDING,2026-08-10T07:12:01+00:00
L013,ACC-000014,CLIENT-0008,2026-08-10T07:13:00+00:00,ACH_CREDIT,C,120.55,BRL,1940408.46,1940408.46,1940408.46,POSTED,2026-08-10T07:13:01+00:00
L014,ACC-000015,CLIENT-0008,2026-08-10T07:14:00+00:00,ACH_DEBIT,D,127.90,BRL,2338144.48,2338144.48,2338144.48,POSTED,2026-08-10T07:14:01+00:00
L015,ACC-000016,CLIENT-0009,2026-08-10T07:15:00+00:00,ATM_WITHDRAWAL,D,135.25,JPY,82628.77,82628.77,82628.77,POSTED,2026-08-10T07:15:01+00:00
L016,ACC-000017,CLIENT-0009,2026-08-10T07:16:00+00:00,BANK_FEE,D,142.60,JPY,100834.87,100834.87,100834.87,POSTED,2026-08-10T07:16:01+00:00
