payment_id,client_id,account_id,payment_date,direction,payment_type,currency,amount,counterparty_country,status
PAY-00000001,CLIENT-0139,ACC-000415,2024-11-21,INBOUND,FX_TRANSFER,USD,78602.35,AE,SETTLED
PAY-00000002,CLIENT-0489,ACC-001459,2026-04-27,OUTBOUND,ACH,GBP,90914.90,CH,SETTLED
PAY-00000003,CLIENT-0448,ACC-001320,2024-02-03,INBOUND,SWIFT,EUR,82464.36,IN,PENDING
PAY-00000004,CLIENT-0258,ACC-000775,2025-10-12,OUTBOUND,FX_TRANSFER,USD,1012.33,IE,SETTLED
PAY-00000005,CLIENT-0082,ACC-000227,2026-01-02,OUTBOUND,FX_TRANSFER,USD,12060.52,BR,SETTLED
PAY-00000006,CLIENT-0215,ACC-000642,2026-04-30,INBOUND,WIRE,EUR,12636.77,IN,SETTLED
PAY-00000007,CLIENT-0341,ACC-000999,2025-11-06,OUTBOUND,SWIFT,USD,1692.67,BR,SETTLED
PAY-00000008,CLIENT-0442,ACC-001307,2026-07-16,OUTBOUND,SEPA,CAD,7766.43,GB,SETTLED
PAY-00000009,CLIENT-0453,ACC-001337,2024-10-08,OUTBOUND,CARD,CAD,87640.74,IN,PENDING
PAY-00000010,CLIENT-0148,ACC-000445,2026-03-21,OUTBOUND,WIRE,USD,171564.60,SG,PENDING
PAY-00000011,CLIENT-0244,ACC-000736,2025-05-11,OUTBOUND,SEPA,CHF,12072.98,SG,PENDING
PAY-00000012,CLIENT-0304,ACC-000893,2025-08-22,INBOUND,WIRE,USD,8187.76,AU,SETTLED
PAY-00000013,CLIENT-0254,ACC-000765,2026-06-09,OUTBOUND,ACH,USD,100239.31,BR,SETTLED
PAY-00000014,CLIENT-0315,ACC-000925,2026-01-21,OUTBOUND,BOOK_TRANSFER,USD,130401.50,AU,SETTLED
PAY-00000015,CLIENT-0456,ACC-001349,2024-01-20,OUTBOUND,REAL_TIME_PAYMENT,USD,152812.44,JP,SETTLED
PAY-00000016,CLIENT-0115,ACC-000336,2024-08-25,INBOUND,ACH,USD,20.11,FR,PENDING
PAY-00000017,CLIENT-0091,ACC-000257,2024-11-29,INBOUND,CARD,MXN,14248.83,AU,SETTLED
PAY-00000018,CLIENT-0053,ACC-000148,2026-06-19,OUTBOUND,REAL_TIME_PAYMENT,USD,47375.26,IE,SETTLED
PAY-00000019,CLIENT-0305,ACC-000898,2026-07-03,OUTBOUND,CARD,CAD,3631.57,SG,SETTLED
PAY-00000020,CLIENT-0222,ACC-000663,2024-09-27,OUTBOUND,WIRE,EUR,46592.41,GB,SETTLED
PAY-00000021,CLIENT-0345,ACC-001009,2026-06-23,INBOUND,ACH,USD,9913.90,IE,SETTLED
PAY-00000022,CLIENT-0122,ACC-000359,2025-08-21,OUTBOUND,CARD,USD,119093.67,BR,SETTLED
PAY-00000023,CLIENT-0230,ACC-000687,2024-05-07,OUTBOUND,SWIFT,USD,107956.88,DE,PENDING
PAY-00000024,CLIENT-0341,ACC-000996,2026-06-24,OUTBOUND,SEPA,USD,3050.89,AU,SETTLED
PAY-00000025,CLIENT-0316,ACC-000927,2024-04-19,INBOUND,CARD,USD,185626.14,IN,SETTLED
PAY-00000026,CLIENT-0330,ACC-000970,2024-09-16,OUTBOUND,BOOK_TRANSFER,GBP,4083.38,BR,SETTLED
PAY-00000027,CLIENT-0295,ACC-000870,2024-06-22,OUTBOUND,CARD,GBP,208651.88,IE,SETTLED
PAY-00000028,CLIENT-0262,ACC-000787,2025-12-06,OUTBOUND,REAL_TIME_PAYMENT,USD,9059.01,IE,SETTLED
PAY-00000029,CLIENT-0019,ACC-000052,2025-07-21,OUTBOUND,SEPA,USD,10215.98,US,SETTLED
PAY-00000030,CLIENT-0257,ACC-000774,2026-03-26,INBOUND,WIRE,EUR,45450.85,IN,SETTLED
PAY-00000031,CLIENT-0308,ACC-000909,2026-07-02,INBOUND,BOOK_TRANSFER,CHF,106023.09,CH,SETTLED
PAY-00000032,CLIENT-0357,ACC-001050,2026-03-05,INBOUND,FX_TRANSFER,USD,13113.41,AE,SETTLED
PAY-00000033,CLIENT-0116,ACC-000340,2026-04-04,OUTBOUND,FX_TRANSFER,SGD,10.86,IN,SETTLED
PAY-00000034,CLIENT-0414,ACC-001222,2025-01-31,OUTBOUND,SEPA,EUR,102035.17,IE,SETTLED
PAY-00000035,CLIENT-0135,ACC-000403,2026-06-27,OUTBOUND,WIRE,USD,14139.27,NL,SETTLED
PAY-00000036,CLIENT-0320,ACC-000939,2024-08-18,OUTBOUND,CARD,INR,94124.82,JP,SETTLED
PAY-00000037,CLIENT-0467,ACC-001382,2026-07-17,OUTBOUND,REAL_TIME_PAYMENT,USD,2120.05,US,SETTLED
PAY-00000038,CLIENT-0082,ACC-000228,2025-09-18,INBOUND,SWIFT,JPY,7943.20,MX,SETTLED
PAY-00000039,CLIENT-0158,ACC-000478,2024-06-30,INBOUND,BOOK_TRANSFER,AUD,59049.85,US,SETTLED
PAY-00000040,CLIENT-0231,ACC-000691,2025-08-16,INBOUND,ACH,USD,223433.28,AU,PENDING
PAY-00000041,CLIENT-0189,ACC-000568,2025-10-10,OUTBOUND,WIRE,USD,8664.05,MX,SETTLED
PAY-00000042,CLIENT-0195,ACC-000577,2025-11-22,OUTBOUND,REAL_TIME_PAYMENT,USD,10912.50,CA,SETTLED
PAY-00000043,CLIENT-0498,ACC-001483,2025-05-22,INBOUND,SWIFT,EUR,235688.91,CH,SETTLED
PAY-00000044,CLIENT-0370,ACC-001080,2025-02-09,INBOUND,ACH,USD,48461.55,IE,SETTLED
PAY-00000045,CLIENT-0107,ACC-000308,2025-11-13,OUTBOUND,BOOK_TRANSFER,EUR,55890.27,IE,SETTLED
PAY-00000046,CLIENT-0215,ACC-000643,2026-04-08,OUTBOUND,ACH,EUR,9627.85,IN,SETTLED
PAY-00000047,CLIENT-0262,ACC-000786,2026-06-16,OUTBOUND,SWIFT,USD,10214.29,US,REJECTED
PAY-00000048,CLIENT-0051,ACC-000139,2026-04-20,OUTBOUND,REAL_TIME_PAYMENT,CAD,26466.41,IE,SETTLED
PAY-00000049,CLIENT-0067,ACC-000188,2026-05-15,OUTBOUND,CARD,USD,107086.40,IN,SETTLED
PAY-00000050,CLIENT-0451,ACC-001334,2026-06-13,INBOUND,SEPA,USD,6749.48,AU,SETTLED
PAY-00000051,CLIENT-0051,ACC-000138,2026-04-16,OUTBOUND,ACH,USD,210421.82,JP,SETTLED
PAY-00000052,CLIENT-0030,ACC-000079,2026-06-27,OUTBOUND,FX_TRANSFER,EUR,132629.98,BR,SETTLED
PAY-00000053,CLIENT-0411,ACC-001210,2026-03-12,INBOUND,SWIFT,USD,142715.85,CH,SETTLED
PAY-00000054,CLIENT-0238,ACC-000718,2025-08-11,OUTBOUND,CARD,USD,239674.44,GB,SETTLED
PAY-00000055,CLIENT-0365,ACC-001065,2026-01-03,INBOUND,FX_TRANSFER,CAD,4965.06,NL,SETTLED
PAY-00000056,CLIENT-0184,ACC-000553,2026-06-28,INBOUND,REAL_TIME_PAYMENT,EUR,10088.01,BR,SETTLED
PAY-00000057,CLIENT-0012,ACC-000027,2026-01-26,OUTBOUND,BOOK_TRANSFER,CAD,8894.66,SG,SETTLED
PAY-00000058,CLIENT-0070,ACC-000194,2025-10-11,OUTBOUND,BOOK_TRANSFER,USD,30840.98,US,SETTLED
PAY-00000059,CLIENT-0087,ACC-000246,2025-09-05,INBOUND,WIRE,EUR,15142.84,MX,SETTLED
PAY-00000060,CLIENT-0117,ACC-000343,2024-06-27,INBOUND,FX_TRANSFER,USD,212644.63,SG,SETTLED
PAY-00000061,CLIENT-0394,ACC-001147,2026-05-24,INBOUND,SWIFT,USD,50204.79,IN,SETTLED
PAY-00000062,CLIENT-0341,ACC-000998,2026-04-16,OUTBOUND,FX_TRANSFER,USD,10550.68,JP,SETTLED
PAY-00000063,CLIENT-0156,ACC-000472,2025-05-23,INBOUND,SEPA,USD,98127.38,CH,SETTLED
PAY-00000064,CLIENT-0050,ACC-000137,2026-07-05,OUTBOUND,ACH,AUD,219826.14,MX,REJECTED
PAY-00000065,CLIENT-0053,ACC-000146,2025-08-30,INBOUND,SWIFT,MXN,237593.06,IE,SETTLED
PAY-00000066,CLIENT-0145,ACC-000433,2024-03-28,INBOUND,FX_TRANSFER,USD,24066.01,DE,SETTLED
