client_id,client_type,country_code,risk_rating,onboarding_date,status
CLIENT-0001,CORPORATE,AE,LOW,2024-01-29,ACTIVE
CLIENT-0002,CORPORATE,CA,LOW,2022-02-19,ACTIVE
CLIENT-0003,CORPORATE,IN,MEDIUM,2020-01-16,ACTIVE
CLIENT-0004,CORPORATE,JP,MEDIUM,2020-09-24,INACTIVE
CLIENT-0005,CORPORATE,CA,HIGH,2024-01-17,ACTIVE
CLIENT-0006,INDIVIDUAL,AE,MEDIUM,2022-06-21,ACTIVE
CLIENT-0007,CORPORATE,US,MEDIUM,2023-04-17,ACTIVE
CLIENT-0008,CORPORATE,BR,MEDIUM,2018-06-30,ACTIVE
CLIENT-0009,INDIVIDUAL,JP,HIGH,2024-05-08,ACTIVE
CLIENT-0010,CORPORATE,CA,LOW,2020-01-18,ACTIVE
CLIENT-0011,INDIVIDUAL,US,LOW,2023-09-10,ACTIVE
CLIENT-0012,INDIVIDUAL,NL,LOW,2023-04-21,ACTIVE
CLIENT-0013,CORPORATE,US,MEDIUM,2022-07-02,ACTIVE
CLIENT-0014,CORPORATE,US,LOW,2025-03-03,ACTIVE
CLIENT-0015,CORPORATE,US,LOW,2023-11-09,ACTIVE
CLIENT-0016,INDIVIDUAL,JP,LOW,2019-09-23,ACTIVE
CLIENT-0017,INDIVIDUAL,CH,LOW,2024-05-10,ACTIVE
CLIENT-0018,CORPORATE,SG,MEDIUM,2019-04-16,ACTIVE
CLIENT-0019,INDIVIDUAL,BR,MEDIUM,2022-10-20,ACTIVE
CLIENT-0020,CORPORATE,US,HIGH,2025-02-26,ACTIVE
CLIENT-0021,CORPORATE,GB,LOW,2022-02-23,ACTIVE
CLIENT-0022,INDIVIDUAL,NL,MEDIUM,2022-03-24,ACTIVE
CLIENT-0023,CORPORATE,US,LOW,2021-11-03,ACTIVE
CLIENT-0024,INDIVIDUAL,BR,LOW,2020-10-19,ACTIVE
CLIENT-0025,CORPORATE,JP,LOW,2024-08-01,ACTIVE
CLIENT-0026,CORPORATE,CH,LOW,2022-12-02,ACTIVE
CLIENT-0027,CORPORATE,US,LOW,2018-05-28,ACTIVE
CLIENT-0028,CORPORATE,SG,MEDIUM,2023-09-02,ACTIVE
CLIENT-0029,CORPORATE,MX,HIGH,2025-04-16,ACTIVE
CLIENT-0030,CORPORATE,FR,LOW,2020-11-11,ACTIVE
CLIENT-0031,CORPORATE,DE,MEDIUM,2020-05-04,ACTIVE
CLIENT-0032,CORPORATE,US,MEDIUM,2021-02-22,ACTIVE
CLIENT-0033,CORPORATE,IN,LOW,2020-10-18,ACTIVE
CLIENT-0034,CORPORATE,US,MEDIUM,2021-11-27,ACTIVE
CLIENT-0035,CORPORATE,FR,MEDIUM,2025-03-27,INACTIVE
CLIENT-0036,INDIVIDUAL,MX,LOW,2023-10-01,ACTIVE
CLIENT-0037,CORPORATE,US,LOW,2025-03-24,ACTIVE
CLIENT-0038,CORPORATE,NL,LOW,2025-04-01,ACTIVE
CLIENT-0039,CORPORATE,GB,LOW,2024-10-14,ACTIVE
CLIENT-0040,CORPORATE,AU,HIGH,2024-11-24,INACTIVE
CLIENT-0041,INDIVIDUAL,BR,MEDIUM,2023-01-07,ACTIVE
CLIENT-0042,CORPORATE,NL,MEDIUM,2021-08-15,ACTIVE
CLIENT-0043,CORPORATE,CA,MEDIUM,2020-10-12,SUSPENDED
CLIENT-0044,CORPORATE,BR,LOW,2022-12-19,ACTIVE
CLIENT-0045,CORPORATE,BR,LOW,2022-07-25,ACTIVE
CLIENT-0046,INDIVIDUAL,US,MEDIUM,2024-07-28,ACTIVE
CLIENT-0047,CORPORATE,US,MEDIUM,2021-04-23,ACTIVE
CLIENT-0048,CORPORATE,US,LOW,2023-09-05,ACTIVE
CLIENT-0049,CORPORATE,US,HIGH,2024-09-12,ACTIVE
CLIENT-0050,CORPORATE,DE,MEDIUM,2024-04-27,INACTIVE
CLIENT-0051,CORPORATE,CA,MEDIUM,2024-07-22,INACTIVE
CLIENT-0052,CORPORATE,NL,LOW,2021-04-11,ACTIVE
CLIENT-0053,CORPORATE,MX,MEDIUM,2020-06-03,ACTIVE
CLIENT-0054,INDIVIDUAL,US,LOW,2022-08-13,ACTIVE
CLIENT-0055,CORPORATE,BR,MEDIUM,2021-12-22,INACTIVE
CLIENT-0056,CORPORATE,CA,MEDIUM,2022-06-21,ACTIVE
CLIENT-0057,INDIVIDUAL,SG,LOW,2020-03-24,ACTIVE
CLIENT-0058,INDIVIDUAL,NL,MEDIUM,2020-10-01,INACTIVE
CLIENT-0059,CORPORATE,MX,HIGH,2020-02-21,ACTIVE
CLIENT-0060,INDIVIDUAL,AE,MEDIUM,2023-05-28,ACTIVE
CLIENT-0061,INDIVIDUAL,US,LOW,2020-03-24,ACTIVE
CLIENT-0062,CORPORATE,DE,LOW,2018-06-17,ACTIVE
CLIENT-0063,INDIVIDUAL,SG,LOW,2021-11-16,ACTIVE
CLIENT-0064,CORPORATE,US,MEDIUM,2019-01-31,ACTIVE
CLIENT-0065,INDIVIDUAL,JP,LOW,2024-11-28,ACTIVE
CLIENT-0066,CORPORATE,US,MEDIUM,2019-01-08,ACTIVE
CLIENT-0067,CORPORATE,US,HIGH,2024-11-22,INACTIVE
CLIENT-0068,CORPORATE,MX,LOW,2023-03-24,ACTIVE
CLIENT-0069,CORPORATE,NL,LOW,2022-09-09,ACTIVE
CLIENT-0070,CORPORATE,US,MEDIUM,2024-11-10,ACTIVE
CLIENT-0071,CORPORATE,GB,MEDIUM,2019-09-27,ACTIVE
CLIENT-0072,CORPORATE,NL,HIGH,2024-05-04,ACTIVE
CLIENT-0073,INDIVIDUAL,DE,LOW,2018-09-06,ACTIVE
CLIENT-0074,CORPORATE,CH,HIGH,2018-03-29,ACTIVE
CLIENT-0075,CORPORATE,US,MEDIUM,2020-10-31,ACTIVE
CLIENT-0076,CORPORATE,US,MEDIUM,2022-06-28,ACTIVE
CLIENT-0077,INDIVIDUAL,CA,LOW,2023-10-11,ACTIVE
CLIENT-0078,INDIVIDUAL,DE,LOW,2024-02-25,ACTIVE
CLIENT-0079,CORPORATE,CH,MEDIUM,2022-04-16,ACTIVE
CLIENT-0080,CORPORATE,DE,HIGH,2023-03-05,ACTIVE
CLIENT-0081,CORPORATE,IN,LOW,2023-05-19,ACTIVE
CLIENT-0082,INDIVIDUAL,JP,LOW,2021-03-30,ACTIVE
CLIENT-0083,CORPORATE,GB,MEDIUM,2020-03-24,INACTIVE
CLIENT-0084,CORPORATE,SG,LOW,2022-08-29,ACTIVE
CLIENT-0085,INDIVIDUAL,CA,MEDIUM,2020-08-07,ACTIVE
CLIENT-0086,INDIVIDUAL,JP,LOW,2019-06-20,ACTIVE
CLIENT-0087,CORPORATE,GB,LOW,2018-03-24,ACTIVE
CLIENT-0088,CORPORATE,US,MEDIUM,2024-09-06,INACTIVE
CLIENT-0089,CORPORATE,SG,MEDIUM,2025-05-23,INACTIVE
CLIENT-0090,CORPORATE,GB,LOW,2018-11-20,ACTIVE
CLIENT-0091,INDIVIDUAL,FR,LOW,2019-06-25,SUSPENDED
CLIENT-0092,CORPORATE,AU,MEDIUM,2020-12-06,ACTIVE
CLIENT-0093,CORPORATE,MX,LOW,2020-07-27,ACTIVE
CLIENT-0094,INDIVIDUAL,US,LOW,2019-04-12,ACTIVE
CLIENT-0095,CORPORATE,SG,LOW,2018-03-31,ACTIVE
CLIENT-0096,INDIVIDUAL,JP,LOW,2018-10-06,ACTIVE
CLIENT-0097,CORPORATE,FR,HIGH,2018-08-11,ACTIVE
CLIENT-0098,CORPORATE,MX,HIGH,2025-05-21,ACTIVE
CLIENT-0099,CORPORATE,DE,MEDIUM,2019-10-28,SUSPENDED
CLIENT-0100,CORPORATE,GB,LOW,2024-11-30,ACTIVE
CLIENT-0101,INDIVIDUAL,FR,HIGH,2021-07-31,ACTIVE
CLIENT-0102,CORPORATE,IN,LOW,2018-10-24,INACTIVE
CLIENT-0103,CORPORATE,US,LOW,2020-10-08,ACTIVE
CLIENT-0104,CORPORATE,US,MEDIUM,2023-08-01,ACTIVE
CLIENT-0105,INDIVIDUAL,SG,LOW,2022-02-20,ACTIVE
CLIENT-0106,CORPORATE,GB,LOW,2024-07-12,ACTIVE
CLIENT-0107,CORPORATE,GB,LOW,2020-11-24,ACTIVE
CLIENT-0108,CORPORATE,CH,LOW,2024-12-07,ACTIVE
CLIENT-0109,CORPORATE,IN,MEDIUM,2019-11-08,ACTIVE
CLIENT-0110,INDIVIDUAL,CA,LOW,2024-06-09,ACTIVE
CLIENT-0111,INDIVIDUAL,US,LOW,2022-04-10,ACTIVE
CLIENT-0112,CORPORATE,AE,HIGH,2020-05-02,SUSPENDED
CLIENT-0113,CORPORATE,NL,MEDIUM,2019-11-16,ACTIVE
CLIENT-0114,CORPORATE,AU,MEDIUM,2024-12-29,INACTIVE
CLIENT-0115,INDIVIDUAL,SG,LOW,2022-08-03,ACTIVE
CLIENT-0116,INDIVIDUAL,SG,LOW,2020-09-27,ACTIVE
CLIENT-0117,CORPORATE,US,MEDIUM,2018-11-30,ACTIVE
CLIENT-0118,INDIVIDUAL,CA,LOW,2018-05-22,INACTIVE
CLIENT-0119,CORPORATE,US,LOW,2022-09-07,ACTIVE
CLIENT-0120,CORPORATE,CH,LOW,2021-06-15,ACTIVE
CLIENT-0121,INDIVIDUAL,US,LOW,2022-07-15,ACTIVE
CLIENT-0122,CORPORATE,US,MEDIUM,2022-12-29,ACTIVE
CLIENT-0123,CORPORATE,US,MEDIUM,2018-08-04,INACTIVE
CLIENT-0124,CORPORATE,US,LOW,2019-02-27,SUSPENDED
CLIENT-0125,CORPORATE,US,MEDIUM,2023-04-02,ACTIVE
CLIENT-0126,INDIVIDUAL,CA,LOW,2024-12-01,ACTIVE
CLIENT-0127,CORPORATE,US,HIGH,2020-11-08,ACTIVE
CLIENT-0128,INDIVIDUAL,US,LOW,2024-01-20,ACTIVE
CLIENT-0129,INDIVIDUAL,DE,LOW,2018-12-10,ACTIVE
CLIENT-0130,CORPORATE,GB,HIGH,2022-01-15,ACTIVE
CLIENT-0131,CORPORATE,AU,MEDIUM,2019-07-22,ACTIVE
CLIENT-0132,INDIVIDUAL,CA,MEDIUM,2020-10-24,ACTIVE
CLIENT-0133,INDIVIDUAL,US,MEDIUM,2023-05-15,ACTIVE
CLIENT-0134,CORPORATE,CH,MEDIUM,2023-01-16,ACTIVE
CLIENT-0135,INDIVIDUAL,CA,MEDIUM,2018-07-18,ACTIVE
CLIENT-0136,CORPORATE,US,MEDIUM,2019-07-06,ACTIVE
CLIENT-0137,CORPORATE,JP,MEDIUM,2018-11-28,ACTIVE
CLIENT-0138,CORPORATE,MX,MEDIUM,2021-04-15,ACTIVE
CLIENT-0139,CORPORATE,IN,MEDIUM,2021-04-04,ACTIVE
CLIENT-0140,CORPORATE,GB,HIGH,2021-03-21,ACTIVE
